Datetime,PJME_MW,Log_MW,Log_Diff,Log_Diff_Monthly
2002-01-01,31080.739130434784,10.344343585744328,,
2002-01-02,34261.541666666664,10.441778769892734,0.0974351841484058,
2002-01-03,34511.875,10.449058746693774,0.007279976801040533,
2002-01-04,33715.458333333336,10.425711715421032,-0.023347031272741958,
2002-01-05,30405.125,10.322366458711686,-0.10334525670934624,
2002-01-06,30323.583333333332,10.319681016590213,-0.0026854421214732582,
2002-01-07,33333.833333333336,10.41432817618962,0.09464715959940762,
2002-01-08,34362.916666666664,10.444733258021424,0.03040508183180357,
2002-01-09,33776.166666666664,10.427510704546163,-0.017222553475260582,
2002-01-10,31471.541666666668,10.35683897731317,-0.07067172723299286,
2002-01-11,30947.541666666668,10.340048845771216,-0.016790131541954523,
2002-01-12,28466.875,10.256496409582942,-0.08355243618827402,
2002-01-13,28052.833333333332,10.241844915950676,-0.014651493632266366,
2002-01-14,31602.958333333332,10.361006013336558,0.11916109738588254,
2002-01-15,31223.791666666668,10.34893563662024,-0.012070376716318165,
2002-01-16,32009.75,10.373795822874053,0.0248601862538127,
2002-01-17,31881.291666666668,10.369774648603665,-0.0040211742703881725,
2002-01-18,32043.125,10.374837930758217,0.005063282154551985,
2002-01-19,31926.333333333332,10.371186444580962,-0.003651486177254526,
2002-01-20,29482.916666666668,10.291566278541836,-0.0796201660391258,
2002-01-21,32434.916666666668,10.38699079640281,0.09542451786097317,
2002-01-22,31539.625,10.358999970782428,-0.0279908256203818,
2002-01-23,31494.333333333332,10.35756291445093,-0.0014370563314969331,
2002-01-24,30615.75,10.329269861407187,-0.0282930530437433,
2002-01-25,30183.833333333332,10.315061739939706,-0.014208121467481405,
2002-01-26,28076.666666666668,10.2426941426413,-0.07236759729840614,
2002-01-27,26645.583333333332,10.190378687279129,-0.05231545536217119,
2002-01-28,29487.833333333332,10.291733027876992,0.10135434059786341,
2002-01-29,29028.208333333332,10.276023337350823,-0.015709690526168885,
2002-01-30,28574.833333333332,10.260281656041744,-0.015741681309078714,
2002-01-31,30375.833333333332,10.32140261510877,0.06112095906702564,
