Month,Log_Passengers,Log_Diff,Log_Seasonal_Diff,Log_Diff_Seasonal_Diff
1949-01-01,4.718498871295094,,,
1949-02-01,4.770684624465664,0.05218575317057006,,
1949-03-01,4.882801922586371,0.11211729812070637,,
1949-04-01,4.859812404361672,-0.022989518224698635,,
1949-05-01,4.795790545596741,-0.0640218587649306,,
1949-06-01,4.90527477843843,0.10948423284168829,,
1949-07-01,4.997212273764115,0.09193749532568507,,
1949-08-01,4.997212273764115,0.0,,
1949-09-01,4.9126548857360515,-0.08455738802806323,,
1949-10-01,4.77912349311153,-0.13353139262452185,,
1949-11-01,4.6443908991413725,-0.13473259397015713,,
1949-12-01,4.770684624465664,0.12629372532429173,,
1950-01-01,4.74493212836325,-0.025752496102414035,0.026433257068156024,
1950-02-01,4.836281906951478,0.09134977858822779,0.06559728248581376,0.03916402541765773
1950-03-01,4.948759890378168,0.11247798342669046,0.06595796779179786,0.00036068530598409865
1950-04-01,4.90527477843843,-0.04348511193973881,0.04546237407675768,-0.020495593715040172
1950-05-01,4.828313737302301,-0.076961041136129,0.032523191705559285,-0.012939182371198399
1950-06-01,5.003946305945459,0.17563256864315857,0.09867152750702957,0.06614833580147028
1950-07-01,5.135798437050261,0.13185213110480198,0.13858616328614648,0.039914635779116914
1950-08-01,5.135798437050261,0.0,0.13858616328614648,0.0
1950-09-01,5.062595033026967,-0.07320340402329428,0.14994014729091543,0.011353984004768947
1950-10-01,4.890349128221754,-0.17224590480521318,0.1112256351102241,-0.03871451218069133
1950-11-01,4.736198448394496,-0.15415067982725805,0.09180754925312318,-0.01941808585710092
1950-12-01,4.941642422609304,0.2054439742148082,0.17095779814363965,0.07915024889051647
1951-01-01,4.976733742420574,0.03509131981127034,0.23180161405732402,0.060843815913684374
1951-02-01,5.0106352940962555,0.03390155167568132,0.17435338714477755,-0.057448226912546474
1951-03-01,5.181783550292085,0.17114825619582952,0.2330236599139166,0.058670272769139054
1951-04-01,5.093750200806762,-0.08803334948532271,0.1884754223683327,-0.0445482375455839
1951-05-01,5.147494476813453,0.053744276006690406,0.3191807395111521,0.1307053171428194
1951-06-01,5.181783550292085,0.034289073478632304,0.17783724434662584,-0.14134349516452627
1951-07-01,5.293304824724492,0.11152127443240722,0.15750638767423109,-0.02033085667239476
1951-08-01,5.293304824724492,0.0,0.15750638767423109,0.0
1951-09-01,5.214935757608986,-0.0783690671155064,0.15234072458201897,-0.005165663092212114
1951-10-01,5.087596335232384,-0.12733942237660223,0.19724720701062992,0.04490648242861095
1951-11-01,4.983606621708336,-0.10398971352404729,0.24740817331384068,0.05016096630321076
1951-12-01,5.111987788356543,0.12838116664820642,0.1703453657472389,-0.07706280756660178
1952-01-01,5.141663556502659,0.02967576814611661,0.16492981408208518,-0.005415551665153728
1952-02-01,5.19295685089021,0.051293294387551036,0.1823215567939549,0.017391742711869718
1952-03-01,5.262690188904886,0.06973333801467518,0.08090663861280056,-0.10141491818115433
1952-04-01,5.198497031265825,-0.06419315763906042,0.10474683045906286,0.023840191846262293
1952-05-01,5.2094861528414205,0.010989121575595284,0.061991676027967735,-0.04275515443109512
1952-06-01,5.384495062789089,0.17500890994766838,0.2027115124970038,0.14071983646903607
1952-07-01,5.438079308923196,0.05358424613410673,0.1447744841987033,-0.0579370282983005
1952-08-01,5.488937726156686,0.05085841723349027,0.19563290143219358,0.05085841723349027
